lib,file_name,total_accuracy
hibernate,hibernate_class_1.csv,1
hibernate,hibernate_class_10.csv,1
hibernate,hibernate_class_12.csv,0.8
hibernate,hibernate_class_15.csv,1
hibernate,hibernate_class_16.csv,1
hibernate,hibernate_class_17.csv,1
hibernate,hibernate_class_18.csv,1
hibernate,hibernate_class_19.csv,0.75
hibernate,hibernate_class_20.csv,1
hibernate,hibernate_class_21.csv,1
hibernate,hibernate_class_22.csv,1
hibernate,hibernate_class_23.csv,1
hibernate,hibernate_class_24.csv,1
hibernate,hibernate_class_25.csv,0.8
hibernate,hibernate_class_26.csv,0.9167
hibernate,hibernate_class_28.csv,0.9167
hibernate,hibernate_class_29.csv,1
hibernate,hibernate_class_3.csv,1
hibernate,hibernate_class_30.csv,0.7143
hibernate,hibernate_class_33.csv,1
hibernate,hibernate_class_34.csv,1
hibernate,hibernate_class_36.csv,1
hibernate,hibernate_class_37.csv,1
hibernate,hibernate_class_38.csv,1
hibernate,hibernate_class_39.csv,1
hibernate,hibernate_class_4.csv,1
hibernate,hibernate_class_40.csv,1
hibernate,hibernate_class_42.csv,0.8333
hibernate,hibernate_class_43.csv,1
hibernate,hibernate_class_45.csv,1
hibernate,hibernate_class_48.csv,1
hibernate,hibernate_class_49.csv,0.75
hibernate,hibernate_class_5.csv,1
hibernate,hibernate_class_50.csv,0.75
hibernate,hibernate_class_7.csv,1
hibernate,hibernate_class_8.csv,0.75
hibernate,hibernate_class_9.csv,1
joda_time,JodaTime01.csv,1
joda_time,JodaTime02.csv,1
joda_time,JodaTime03.csv,1
joda_time,JodaTime04.csv,1
joda_time,JodaTime05.csv,1
joda_time,JodaTime06.csv,1
joda_time,JodaTime07.csv,1
joda_time,JodaTime08.csv,1
joda_time,JodaTime09.csv,1
joda_time,JodaTime10.csv,1
joda_time,JodaTime11.csv,1
joda_time,JodaTime12.csv,1
joda_time,JodaTime13.csv,1
joda_time,JodaTime14.csv,1
joda_time,JodaTime15.csv,1
joda_time,JodaTime17.csv,1
joda_time,JodaTime18.csv,0.6667
joda_time,JodaTime19.csv,1
joda_time,JodaTime20.csv,0.75
joda_time,JodaTime21.csv,1
joda_time,JodaTime22.csv,1
joda_time,JodaTime23.csv,1
joda_time,JodaTime24.csv,1
joda_time,JodaTime25.csv,1
joda_time,JodaTime26.csv,1
joda_time,JodaTime27.csv,1
joda_time,JodaTime28.csv,0.8571
joda_time,JodaTime29.csv,1
joda_time,JodaTime30.csv,1
joda_time,JodaTime31.csv,0.6667
joda_time,JodaTime32.csv,1
joda_time,JodaTime33.csv,1
joda_time,JodaTime34.csv,1
joda_time,JodaTime35.csv,1
joda_time,JodaTime36.csv,1
joda_time,JodaTime37.csv,0.6667
joda_time,JodaTime38.csv,1
joda_time,JodaTime39.csv,1
joda_time,JodaTime40.csv,0.5
joda_time,JodaTime41.csv,1
joda_time,JodaTime42.csv,1
joda_time,JodaTime43.csv,1
joda_time,JodaTime44.csv,1
joda_time,JodaTime45.csv,0.8333
joda_time,JodaTime46.csv,1
joda_time,JodaTime47.csv,1
joda_time,JodaTime48.csv,1
joda_time,JodaTime49.csv,1
joda_time,JodaTime50.csv,1
jdk,Class_1.csv,1
jdk,Class_10.csv,1
jdk,Class_11.csv,1
jdk,Class_12.csv,1
jdk,Class_13.csv,1
jdk,Class_14.csv,1
jdk,Class_15.csv,1
jdk,Class_16.csv,1
jdk,Class_17.csv,1
jdk,Class_18.csv,1
jdk,Class_19.csv,1
jdk,Class_2.csv,1
jdk,Class_20.csv,1
jdk,Class_21.csv,1
jdk,Class_22.csv,1
jdk,Class_3.csv,1
jdk,Class_4.csv,1
jdk,Class_5.csv,1
jdk,Class_7.csv,1
jdk,Class_9.csv,1
xstream,xstream_class_1.csv,0.8
xstream,xstream_class_10.csv,1
xstream,xstream_class_11.csv,1
xstream,xstream_class_12.csv,1
xstream,xstream_class_13.csv,1
xstream,xstream_class_14.csv,1
xstream,xstream_class_16.csv,1
xstream,xstream_class_17.csv,1
xstream,xstream_class_18.csv,1
xstream,xstream_class_19.csv,1
xstream,xstream_class_2.csv,1
xstream,xstream_class_20.csv,1
xstream,xstream_class_21.csv,1
xstream,xstream_class_23.csv,1
xstream,xstream_class_24.csv,1
xstream,xstream_class_25.csv,1
xstream,xstream_class_26.csv,1
xstream,xstream_class_27.csv,0.625
xstream,xstream_class_3.csv,1
xstream,xstream_class_30.csv,1
xstream,xstream_class_32.csv,1
xstream,xstream_class_33.csv,1
xstream,xstream_class_35.csv,1
xstream,xstream_class_36.csv,1
xstream,xstream_class_37.csv,1
xstream,xstream_class_38.csv,1
xstream,xstream_class_39.csv,1
xstream,xstream_class_4.csv,1
xstream,xstream_class_40.csv,1
xstream,xstream_class_41.csv,1
xstream,xstream_class_42.csv,1
xstream,xstream_class_43.csv,1
xstream,xstream_class_44.csv,1
xstream,xstream_class_5.csv,1
xstream,xstream_class_6.csv,1
xstream,xstream_class_8.csv,1
xstream,xstream_class_9.csv,1
