filename:xstream_class_1.java    extra_types:['com/google/common/collect/SortedIterable', 'org/springframework/beans/factory/BeanClassLoaderAware', 'com/sun/corba/se/impl/ior/ObjectAdapterIdBase', 'org/eclipse/core/resources/IStorage', 'org/jcp/xml/dsig/internal/dom/AbstractDOMSignatureMethod', 'com/google/common/collect/Synchronized$SynchronizedObject', 'org/eclipse/core/runtime/IAdaptable', 'java/time/chrono/ChronoLocalDateImpl', 'com/google/common/collect/AbstractListMultimap', 'com/sun/java/util/jar/pack/CodingMethod', 'java/util/Collections$UnmodifiableSet', 'com/google/gwt/thirdparty/guava/common/reflect/TypeCapture', 'com/google/common/collect/Synchronized$SynchronizedSet', 'com/google/common/collect/Collections2$TransformedCollection', 'com/google/gwt/thirdparty/guava/common/collect/AbstractListMultimap', 'com/google/gwt/thirdparty/guava/common/reflect/Element', 'com/google/common/collect/SortedMultisetBridge', 'sun/print/AttributeUpdater', 'com/google/common/collect/StandardRowSortedTable', 'com/google/gwt/thirdparty/guava/common/collect/FilteredKeyMultimap', 'com/google/gwt/thirdparty/guava/common/collect/Maps$KeySet', 'org/eclipse/jdt/internal/core/BinaryField', 'java/util/Collections$CheckedCollection', 'com/google/common/reflect/TypeCapture', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedSet', 'com/google/common/collect/AbstractTable', 'org/apache/commons/lang3/time/DatePrinter', 'org/springframework/beans/factory/InitializingBean', 'com/google/gwt/thirdparty/guava/common/collect/SortedIterable', 'javax/transaction/Transaction', 'com/google/common/collect/AbstractRangeSet', 'com/google/gwt/thirdparty/guava/common/collect/AbstractRangeSet', 'com/google/gwt/thirdparty/guava/common/collect/AbstractMultimap', 'com/google/gwt/thirdparty/guava/common/collect/SortedMultisetBridge', 'org/apache/commons/lang3/time/DateParser', 'com/google/gwt/thirdparty/guava/common/collect/StandardRowSortedTable', 'com/google/gwt/thirdparty/guava/common/collect/AbstractSortedKeySortedSetMultimap', 'java/util/concurrent/ConcurrentHashMap$CollectionView', 'com/google/common/collect/Synchronized$SynchronizedCollection', 'com/google/common/collect/AbstractSortedKeySortedSetMultimap', 'java/lang/Comparable', 'com/google/common/collect/Maps$KeySet', 'org/eclipse/core/runtime/PlatformObject', 'com/google/common/reflect/Element', 'antlr/CommonAST', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedCollection', 'org/eclipse/core/resources/IProjectNature', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedObject', 'com/sun/corba/se/impl/ior/iiop/IIOPAddressBase']
filename:xstream_class_34.java    extra_types:['com/google/common/collect/SortedIterable', 'org/springframework/beans/factory/BeanClassLoaderAware', 'com/sun/corba/se/impl/ior/ObjectAdapterIdBase', 'org/eclipse/core/resources/IStorage', 'org/jcp/xml/dsig/internal/dom/AbstractDOMSignatureMethod', 'com/google/common/collect/Synchronized$SynchronizedObject', 'org/eclipse/core/runtime/IAdaptable', 'java/time/chrono/ChronoLocalDateImpl', 'com/google/common/collect/AbstractListMultimap', 'javax/swing/TransferHandler$HasGetTransferHandler', 'com/sun/java/util/jar/pack/CodingMethod', 'java/util/Collections$UnmodifiableSet', 'com/google/gwt/thirdparty/guava/common/reflect/TypeCapture', 'com/sun/xml/internal/ws/model/wsdl/AbstractObjectImpl', 'com/google/gwt/dev/PrecompileTaskArgProcessor', 'com/google/common/collect/Synchronized$SynchronizedSet', 'com/google/common/collect/Collections2$TransformedCollection', 'com/google/gwt/thirdparty/guava/common/collect/AbstractListMultimap', 'javax/servlet/jsp/tagext/BodyTagSupport', 'org/eclipse/jdt/internal/core/MemberElementInfo', 'com/google/gwt/thirdparty/guava/common/reflect/Element', 'com/sun/org/apache/xalan/internal/xsltc/compiler/Expression', 'com/google/common/collect/SortedMultisetBridge', 'com/google/gwt/user/rebind/rpc/TypeFilter', 'com/google/gwt/dev/javac/typemodel/JMaybeParameterizedType', 'com/google/gwt/dev/javac/typemodel/JDelegatingClassType', 'sun/print/AttributeUpdater', 'com/google/common/collect/StandardRowSortedTable', 'com/google/gwt/thirdparty/guava/common/collect/FilteredKeyMultimap', 'com/sun/xml/internal/bind/v2/model/impl/TypeInfoImpl', 'com/google/gwt/dev/PermutationWorker', 'com/google/gwt/thirdparty/guava/common/collect/Maps$KeySet', 'org/objectweb/asm/MethodVisitor', 'org/eclipse/jdt/internal/core/BinaryField', 'java/util/Collections$CheckedCollection', 'com/google/common/reflect/TypeCapture', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedSet', 'com/sun/xml/internal/ws/model/wsdl/AbstractExtensibleImpl', 'org/hibernate/annotations/common/reflection/java/JavaXAnnotatedElement', 'com/sun/org/apache/xalan/internal/xsltc/compiler/TopLevelElement', 'com/sun/org/apache/xalan/internal/xsltc/compiler/QName', 'com/google/common/collect/AbstractTable', 'org/apache/commons/lang3/time/DatePrinter', 'org/springframework/beans/factory/InitializingBean', 'com/google/gwt/thirdparty/guava/common/collect/SortedIterable', 'javax/transaction/Transaction', 'com/google/common/collect/AbstractRangeSet', 'com/google/gwt/thirdparty/guava/common/collect/AbstractRangeSet', 'org/eclipse/jetty/util/log/Logger', 'com/google/gwt/thirdparty/guava/common/collect/AbstractMultimap', 'com/google/gwt/thirdparty/guava/common/collect/SortedMultisetBridge', 'sun/security/jgss/krb5/Krb5CredElement', 'com/google/gwt/user/rebind/ui/ImageBundleBuilder$HasRect', 'javax/servlet/jsp/tagext/TagSupport', 'org/apache/commons/lang3/time/DateParser', 'com/google/gwt/thirdparty/guava/common/collect/StandardRowSortedTable', 'org/objectweb/asm/FieldVisitor', 'com/google/gwt/thirdparty/guava/common/collect/AbstractSortedKeySortedSetMultimap', 'java/util/concurrent/ConcurrentHashMap$CollectionView', 'com/google/common/collect/Synchronized$SynchronizedCollection', 'com/google/gwt/dev/CompileArgProcessor', 'com/google/common/collect/AbstractSortedKeySortedSetMultimap', 'java/lang/Comparable', 'com/sun/org/apache/xalan/internal/xsltc/compiler/Instruction', 'com/google/common/collect/Maps$KeySet', 'org/eclipse/core/runtime/PlatformObject', 'com/google/common/reflect/Element', 'antlr/CommonAST', 'com/sun/xml/internal/ws/model/wsdl/AbstractFeaturedObjectImpl', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedCollection', 'java/util/zip/ZipConstants', 'org/eclipse/core/resources/IProjectNature', 'org/apache/commons/beanutils/DynaClass', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedObject', 'sun/awt/X11/XWrapperBase', 'com/sun/corba/se/impl/ior/iiop/IIOPAddressBase']

filename:xstream_class_35.java    extra_types:[]

filename:xstream_class_36.java    extra_types:[]

filename:xstream_class_37.java    extra_types:[]

filename:xstream_class_38.java    extra_types:[]

filename:xstream_class_39.java    extra_types:[]

filename:xstream_class_4.java    extra_types:[]

filename:xstream_class_40.java    extra_types:[]

filename:xstream_class_41.java    extra_types:['java/lang/AbstractStringBuilder']

filename:xstream_class_42.java    extra_types:[]

filename:xstream_class_43.java    extra_types:['java/lang/AbstractStringBuilder']

filename:xstream_class_44.java    extra_types:[]

filename:xstream_class_5.java    extra_types:[]

filename:xstream_class_6.java    extra_types:[]

filename:xstream_class_7.java    extra_types:[]

filename:xstream_class_8.java    extra_types:[]

filename:xstream_class_9.java    extra_types:[]

