filename:xstream_class_1.java    extra_types:['com/google/gwt/thirdparty/guava/common/collect/StandardRowSortedTable', 'org/springframework/beans/factory/BeanClassLoaderAware', 'com/google/gwt/thirdparty/guava/common/collect/AbstractMultimap', 'com/google/common/collect/AbstractTable', 'org/jcp/xml/dsig/internal/dom/AbstractDOMSignatureMethod', 'org/apache/commons/lang3/time/DatePrinter', 'com/google/common/collect/SortedMultisetBridge', 'org/eclipse/jdt/internal/core/BinaryField', 'com/google/common/collect/Synchronized$SynchronizedCollection', 'java/util/Collections$CheckedCollection', 'com/google/gwt/thirdparty/guava/common/collect/Maps$KeySet', 'com/google/common/reflect/Element', 'com/google/gwt/thirdparty/guava/common/reflect/TypeCapture', 'com/google/common/collect/Collections2$TransformedCollection', 'org/eclipse/core/runtime/PlatformObject', 'com/google/common/collect/StandardRowSortedTable', 'com/google/gwt/thirdparty/guava/common/collect/AbstractSortedKeySortedSetMultimap', 'com/google/common/collect/Maps$KeySet', 'java/util/Collections$UnmodifiableSet', 'com/sun/corba/se/impl/ior/ObjectAdapterIdBase', 'org/apache/commons/lang3/time/DateParser', 'com/sun/java/util/jar/pack/CodingMethod', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedObject', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedCollection', 'java/lang/Comparable', 'com/google/gwt/thirdparty/guava/common/collect/SortedMultisetBridge', 'antlr/CommonAST', 'com/google/gwt/thirdparty/guava/common/collect/FilteredKeyMultimap', 'com/google/common/collect/AbstractListMultimap', 'org/eclipse/core/runtime/IAdaptable', 'com/sun/corba/se/impl/ior/iiop/IIOPAddressBase', 'com/google/common/reflect/TypeCapture', 'com/google/gwt/thirdparty/guava/common/collect/AbstractListMultimap', 'com/google/common/collect/Synchronized$SynchronizedSet', 'com/google/common/collect/AbstractSortedKeySortedSetMultimap', 'com/google/gwt/thirdparty/guava/common/collect/SortedIterable', 'java/time/chrono/ChronoLocalDateImpl', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedSet', 'com/google/common/collect/SortedIterable', 'javax/transaction/Transaction', 'com/google/gwt/thirdparty/guava/common/reflect/Element', 'sun/print/AttributeUpdater', 'java/util/concurrent/ConcurrentHashMap$CollectionView', 'com/google/common/collect/AbstractRangeSet', 'com/google/common/collect/Synchronized$SynchronizedObject', 'org/springframework/beans/factory/InitializingBean', 'com/google/gwt/thirdparty/guava/common/collect/AbstractRangeSet', 'org/eclipse/core/resources/IProjectNature', 'org/eclipse/core/resources/IStorage']
filename:xstream_class_34.java    extra_types:['com/google/gwt/thirdparty/guava/common/collect/StandardRowSortedTable', 'org/hibernate/annotations/common/reflection/java/JavaXAnnotatedElement', 'org/springframework/beans/factory/BeanClassLoaderAware', 'com/google/gwt/thirdparty/guava/common/collect/AbstractMultimap', 'org/eclipse/jetty/util/log/Logger', 'com/google/common/collect/AbstractTable', 'org/jcp/xml/dsig/internal/dom/AbstractDOMSignatureMethod', 'org/apache/commons/lang3/time/DatePrinter', 'com/google/common/collect/SortedMultisetBridge', 'org/eclipse/jdt/internal/core/BinaryField', 'com/google/common/collect/Synchronized$SynchronizedCollection', 'org/eclipse/jdt/internal/core/MemberElementInfo', 'javax/servlet/jsp/tagext/TagSupport', 'com/sun/org/apache/xalan/internal/xsltc/compiler/Expression', 'java/util/Collections$CheckedCollection', 'com/google/gwt/thirdparty/guava/common/collect/Maps$KeySet', 'com/google/common/reflect/Element', 'com/google/gwt/thirdparty/guava/common/reflect/TypeCapture', 'sun/security/jgss/krb5/Krb5CredElement', 'com/google/gwt/user/rebind/ui/ImageBundleBuilder$HasRect', 'com/google/common/collect/Collections2$TransformedCollection', 'org/eclipse/core/runtime/PlatformObject', 'com/sun/xml/internal/ws/model/wsdl/AbstractObjectImpl', 'com/google/common/collect/StandardRowSortedTable', 'com/google/gwt/thirdparty/guava/common/collect/AbstractSortedKeySortedSetMultimap', 'com/google/common/collect/Maps$KeySet', 'javax/swing/TransferHandler$HasGetTransferHandler', 'com/google/gwt/user/rebind/rpc/TypeFilter', 'java/util/Collections$UnmodifiableSet', 'com/sun/corba/se/impl/ior/ObjectAdapterIdBase', 'org/apache/commons/lang3/time/DateParser', 'com/sun/java/util/jar/pack/CodingMethod', 'com/google/gwt/dev/javac/typemodel/JDelegatingClassType', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedObject', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedCollection', 'sun/awt/X11/XWrapperBase', 'java/util/zip/ZipConstants', 'javax/servlet/jsp/tagext/BodyTagSupport', 'com/sun/org/apache/xalan/internal/xsltc/compiler/QName', 'java/lang/Comparable', 'com/sun/org/apache/xalan/internal/xsltc/compiler/TopLevelElement', 'com/google/gwt/thirdparty/guava/common/collect/SortedMultisetBridge', 'antlr/CommonAST', 'com/google/gwt/thirdparty/guava/common/collect/FilteredKeyMultimap', 'com/google/common/collect/AbstractListMultimap', 'org/objectweb/asm/FieldVisitor', 'org/apache/commons/beanutils/DynaClass', 'com/sun/xml/internal/ws/model/wsdl/AbstractExtensibleImpl', 'org/eclipse/core/runtime/IAdaptable', 'com/sun/corba/se/impl/ior/iiop/IIOPAddressBase', 'com/google/gwt/dev/PermutationWorker', 'com/google/common/reflect/TypeCapture', 'com/google/gwt/thirdparty/guava/common/collect/AbstractListMultimap', 'org/objectweb/asm/MethodVisitor', 'com/sun/xml/internal/ws/model/wsdl/AbstractFeaturedObjectImpl', 'com/google/common/collect/Synchronized$SynchronizedSet', 'com/google/common/collect/AbstractSortedKeySortedSetMultimap', 'com/google/gwt/thirdparty/guava/common/collect/SortedIterable', 'com/sun/xml/internal/bind/v2/model/impl/TypeInfoImpl', 'java/time/chrono/ChronoLocalDateImpl', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedSet', 'com/google/common/collect/SortedIterable', 'javax/transaction/Transaction', 'com/google/gwt/thirdparty/guava/common/reflect/Element', 'sun/print/AttributeUpdater', 'com/sun/org/apache/xalan/internal/xsltc/compiler/Instruction', 'java/util/concurrent/ConcurrentHashMap$CollectionView', 'com/google/gwt/dev/javac/typemodel/JMaybeParameterizedType', 'com/google/gwt/dev/PrecompileTaskArgProcessor', 'com/google/gwt/dev/CompileArgProcessor', 'com/google/common/collect/AbstractRangeSet', 'com/google/common/collect/Synchronized$SynchronizedObject', 'org/springframework/beans/factory/InitializingBean', 'com/google/gwt/thirdparty/guava/common/collect/AbstractRangeSet', 'org/eclipse/core/resources/IProjectNature', 'org/eclipse/core/resources/IStorage']

filename:xstream_class_35.java    extra_types:[]

filename:xstream_class_36.java    extra_types:[]

filename:xstream_class_37.java    extra_types:[]

filename:xstream_class_38.java    extra_types:[]

filename:xstream_class_39.java    extra_types:[]

filename:xstream_class_4.java    extra_types:[]

filename:xstream_class_40.java    extra_types:[]

filename:xstream_class_41.java    extra_types:['java/lang/AbstractStringBuilder']

filename:xstream_class_42.java    extra_types:[]

filename:xstream_class_43.java    extra_types:['java/lang/AbstractStringBuilder']

filename:xstream_class_44.java    extra_types:[]

filename:xstream_class_5.java    extra_types:[]

filename:xstream_class_6.java    extra_types:[]

filename:xstream_class_7.java    extra_types:[]

filename:xstream_class_8.java    extra_types:[]

filename:xstream_class_9.java    extra_types:[]

filename:xstream_class_35.java    extra_types:[]

filename:xstream_class_18.java    extra_types:[]

filename:xstream_class_35.java    extra_types:[]

