filename:xstream_class_1.java    extra_types:['sun/print/AttributeUpdater', 'com/google/common/collect/Maps$KeySet', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedSet', 'org/springframework/beans/factory/InitializingBean', 'com/google/common/collect/AbstractListMultimap', 'javax/transaction/Transaction', 'com/google/common/collect/AbstractTable', 'org/eclipse/core/resources/IProjectNature', 'com/google/gwt/thirdparty/guava/common/collect/AbstractSortedKeySortedSetMultimap', 'com/google/common/collect/SortedMultisetBridge', 'org/springframework/beans/factory/BeanClassLoaderAware', 'java/lang/Comparable', 'org/apache/commons/lang3/time/DatePrinter', 'java/util/Collections$UnmodifiableSet', 'org/eclipse/jdt/internal/core/BinaryField', 'com/google/common/reflect/Element', 'com/sun/java/util/jar/pack/CodingMethod', 'com/google/gwt/thirdparty/guava/common/collect/AbstractRangeSet', 'com/sun/corba/se/impl/ior/iiop/IIOPAddressBase', 'org/apache/commons/lang3/time/DateParser', 'com/google/gwt/thirdparty/guava/common/collect/SortedMultisetBridge', 'com/google/gwt/thirdparty/guava/common/collect/Maps$KeySet', 'com/google/common/collect/AbstractRangeSet', 'com/google/gwt/thirdparty/guava/common/collect/AbstractMultimap', 'com/google/gwt/thirdparty/guava/common/collect/FilteredKeyMultimap', 'java/util/concurrent/ConcurrentHashMap$CollectionView', 'com/google/common/collect/SortedIterable', 'com/google/common/collect/Collections2$TransformedCollection', 'com/google/gwt/thirdparty/guava/common/collect/AbstractListMultimap', 'com/google/common/collect/StandardRowSortedTable', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedObject', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedCollection', 'antlr/CommonAST', 'org/eclipse/core/runtime/IAdaptable', 'com/google/gwt/thirdparty/guava/common/reflect/TypeCapture', 'org/eclipse/core/resources/IStorage', 'com/google/common/collect/Synchronized$SynchronizedSet', 'org/jcp/xml/dsig/internal/dom/AbstractDOMSignatureMethod', 'com/google/common/collect/Synchronized$SynchronizedObject', 'java/util/Collections$CheckedCollection', 'org/eclipse/core/runtime/PlatformObject', 'com/google/common/reflect/TypeCapture', 'com/google/common/collect/AbstractSortedKeySortedSetMultimap', 'com/sun/corba/se/impl/ior/ObjectAdapterIdBase', 'com/google/gwt/thirdparty/guava/common/collect/StandardRowSortedTable', 'com/google/gwt/thirdparty/guava/common/reflect/Element', 'com/google/common/collect/Synchronized$SynchronizedCollection', 'java/time/chrono/ChronoLocalDateImpl', 'com/google/gwt/thirdparty/guava/common/collect/SortedIterable']
filename:xstream_class_34.java    extra_types:['sun/print/AttributeUpdater', 'com/google/common/collect/Maps$KeySet', 'com/sun/xml/internal/ws/model/wsdl/AbstractExtensibleImpl', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedSet', 'org/apache/commons/beanutils/DynaClass', 'org/springframework/beans/factory/InitializingBean', 'com/google/common/collect/AbstractListMultimap', 'javax/transaction/Transaction', 'com/google/common/collect/AbstractTable', 'com/sun/org/apache/xalan/internal/xsltc/compiler/TopLevelElement', 'com/google/gwt/user/rebind/rpc/TypeFilter', 'org/eclipse/core/resources/IProjectNature', 'org/objectweb/asm/MethodVisitor', 'com/google/gwt/thirdparty/guava/common/collect/AbstractSortedKeySortedSetMultimap', 'com/google/common/collect/SortedMultisetBridge', 'com/google/gwt/dev/javac/typemodel/JDelegatingClassType', 'org/springframework/beans/factory/BeanClassLoaderAware', 'java/lang/Comparable', 'org/apache/commons/lang3/time/DatePrinter', 'java/util/Collections$UnmodifiableSet', 'javax/swing/TransferHandler$HasGetTransferHandler', 'org/objectweb/asm/FieldVisitor', 'javax/servlet/jsp/tagext/BodyTagSupport', 'org/eclipse/jdt/internal/core/BinaryField', 'com/google/gwt/user/rebind/ui/ImageBundleBuilder$HasRect', 'com/sun/org/apache/xalan/internal/xsltc/compiler/Expression', 'com/google/gwt/dev/javac/typemodel/JMaybeParameterizedType', 'com/google/gwt/dev/PrecompileTaskArgProcessor', 'com/google/gwt/dev/CompileArgProcessor', 'com/google/common/reflect/Element', 'com/sun/java/util/jar/pack/CodingMethod', 'com/google/gwt/thirdparty/guava/common/collect/AbstractRangeSet', 'sun/security/jgss/krb5/Krb5CredElement', 'com/sun/corba/se/impl/ior/iiop/IIOPAddressBase', 'org/apache/commons/lang3/time/DateParser', 'com/google/gwt/thirdparty/guava/common/collect/SortedMultisetBridge', 'com/google/gwt/thirdparty/guava/common/collect/Maps$KeySet', 'javax/servlet/jsp/tagext/TagSupport', 'com/google/common/collect/AbstractRangeSet', 'com/google/gwt/thirdparty/guava/common/collect/AbstractMultimap', 'com/google/gwt/thirdparty/guava/common/collect/FilteredKeyMultimap', 'java/util/concurrent/ConcurrentHashMap$CollectionView', 'com/google/common/collect/SortedIterable', 'com/google/common/collect/Collections2$TransformedCollection', 'com/google/gwt/thirdparty/guava/common/collect/AbstractListMultimap', 'com/google/common/collect/StandardRowSortedTable', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedObject', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedCollection', 'antlr/CommonAST', 'org/eclipse/jetty/util/log/Logger', 'com/sun/xml/internal/ws/model/wsdl/AbstractFeaturedObjectImpl', 'sun/awt/X11/XWrapperBase', 'org/eclipse/core/runtime/IAdaptable', 'org/hibernate/annotations/common/reflection/java/JavaXAnnotatedElement', 'com/google/gwt/dev/PermutationWorker', 'com/google/gwt/thirdparty/guava/common/reflect/TypeCapture', 'com/sun/org/apache/xalan/internal/xsltc/compiler/QName', 'org/eclipse/core/resources/IStorage', 'org/eclipse/jdt/internal/core/MemberElementInfo', 'com/google/common/collect/Synchronized$SynchronizedSet', 'java/util/zip/ZipConstants', 'org/jcp/xml/dsig/internal/dom/AbstractDOMSignatureMethod', 'com/sun/xml/internal/ws/model/wsdl/AbstractObjectImpl', 'com/google/common/collect/Synchronized$SynchronizedObject', 'java/util/Collections$CheckedCollection', 'org/eclipse/core/runtime/PlatformObject', 'com/google/common/reflect/TypeCapture', 'com/google/common/collect/AbstractSortedKeySortedSetMultimap', 'com/sun/corba/se/impl/ior/ObjectAdapterIdBase', 'com/google/gwt/thirdparty/guava/common/collect/StandardRowSortedTable', 'com/google/gwt/thirdparty/guava/common/reflect/Element', 'com/google/common/collect/Synchronized$SynchronizedCollection', 'java/time/chrono/ChronoLocalDateImpl', 'com/sun/xml/internal/bind/v2/model/impl/TypeInfoImpl', 'com/google/gwt/thirdparty/guava/common/collect/SortedIterable', 'com/sun/org/apache/xalan/internal/xsltc/compiler/Instruction']

filename:xstream_class_35.java    extra_types:[]

filename:xstream_class_36.java    extra_types:[]

filename:xstream_class_37.java    extra_types:[]

filename:xstream_class_38.java    extra_types:[]

filename:xstream_class_39.java    extra_types:[]

filename:xstream_class_4.java    extra_types:[]

filename:xstream_class_40.java    extra_types:[]

filename:xstream_class_41.java    extra_types:['java/lang/AbstractStringBuilder']

filename:xstream_class_42.java    extra_types:[]

filename:xstream_class_43.java    extra_types:['java/lang/AbstractStringBuilder']

filename:xstream_class_44.java    extra_types:[]

filename:xstream_class_5.java    extra_types:[]

filename:xstream_class_6.java    extra_types:[]

filename:xstream_class_7.java    extra_types:[]

filename:xstream_class_8.java    extra_types:[]

filename:xstream_class_9.java    extra_types:[]

filename:xstream_class_9.java    extra_types:[]

